Code Set,Code Value,Code Name,Code Definition,UK Recommended Usage
ExternalAccountIdentification1Code,AIIN,IssuerIdentificationNumber,Issuer Identification Number (IIN) - identifies a card issuing institution in an international interchange environment. Issued by ABA (American Bankers Association).,
ExternalAccountIdentification1Code,BBAN,BBANIdentifier,"Basic Bank Account Number (BBAN) - identifier used nationally by financial institutions, ie, in individual countries, generally as part of a National Account Numbering Scheme(s), to uniquely identify the account of a customer.",
ExternalAccountIdentification1Code,CUID,CHIPSUniversalIdentifier,"(United States) Clearing House Interbank Payments System (CHIPS) Universal Identification (UID) - identifies entities that own accounts at CHIPS participating financial institutions, through which CHIPS payments are effected. The CHIPS UID is assigned by the New York Clearing House.",
ExternalAccountIdentification1Code,UPIC,UPICIdentifier,"Universal Payment Identification Code (UPIC) - identifier used by the New York Clearing House to mask confidential data, such as bank accounts and bank routing numbers. UPIC numbers remain with business customers, regardless of banking relationship changes.",
ExternalAuthenticationChannel1Code,ATMA,ATM,Authentication provided through ATM,
ExternalAuthenticationChannel1Code,CARD,Card,Authentication provided through Card,
ExternalAuthenticationChannel1Code,INBA,InternetBanking,Authentication provided through Internet Banking,
ExternalAuthenticationChannel1Code,MOBI,Mobile,Authentication provided through Mobile,
ExternalAuthorityIdentification1Code,AUAS,AustralianSecuritiesAndInvestmentsCommissionASIC,Australian Securities and Investments Commission (ASIC),
ExternalBalanceSubType1Code,ADJT,Adjustment,"Balance to be held in the settlement account in order to comply with the average reserve due, in the event that the bank's balance is equal to the reserve due during the remaining days of the maintenance period.",
ExternalBalanceSubType1Code,BCUR,BaseCurrency,Balance representing the amount in the domestic or base accounting currency. ,
ExternalBalanceSubType1Code,BLCK,Blocked,"Balance representing the regulatory reserve that a financial institution must have with the account servicing institution, eg, the minimum credit balance a financial institution is to keep with its Central Bank for mandatory reserve purposes. In some countries, a blocked balance is known as a 'reserve' balance.",
ExternalBalanceSubType1Code,BLKD,BlockedFunds,Balance representing funds that cannot be touched by the account owner.,
ExternalBalanceSubType1Code,DLOD,DaylightOverdraft,Balance representing the intra day overdraft granted by the Central Bank to financial institutions participating in a RTGS system. This balance may vary over time and shall be offset at the end of the day.,
ExternalBalanceSubType1Code,EAST,EligibleAssets,"Balance representing the potential loan a Central Bank would make in cash if the collateral is pledged, eg, securities available and eligible as collateral with the Central Bank.",
ExternalBalanceSubType1Code,FCOL,FirmCollateralization,Balance representing the forecast of the cash-equivalent resulting from evaluation of existing holdings at CSD that are qualified to serve as collateral.,
ExternalBalanceSubType1Code,FCOU,AmountsThatHaveBeenUsedToServeAsFirmCollateral,Balance representing the cash equivalent resulting from evaluation of existing holdings at CSD that are qualified to serve as collateral and have been used as collateral.,
ExternalBalanceSubType1Code,FORC,SecuritiesForecast,"Balance representing the total of all balance types representing the forecast of transactions to settle, blocked items, custody transactions and corporate actions cash disbursements.",
ExternalBalanceSubType1Code,FUND,NetFunding,Balance representing the net amount to be funded resulting from the difference between the total of all transactions with a cash impact and the existing cash coverage.,
ExternalBalanceSubType1Code,INTM,Intermediate,Balance representing an intermediate amount such as the opening or closing balance incrementally carried forward from one page to the next in a multi-page statement or report.,
ExternalBalanceSubType1Code,LCUR,LocalCurrency,Balance representing the amount in the local market currency for which the asset is held. ,
ExternalBalanceSubType1Code,LRLD,LimitRelated,"Balance of a specific limit value, eg, a bilateral balance is calculated in relation to a given bilateral limit.",
ExternalBalanceSubType1Code,NOTE,ReservedLiquidity,"Balance representing the amount that a financial institution has set aside for a specific reason and which is therefore not available. In the context of CSDs, reservation of liquidity made to meet settlement obligations.",
ExternalBalanceSubType1Code,PDNG,SecuritiesPending,"Balance of securities pending delivery, such as orders to sell securities have been executed but settlement of the open transactions has not been confirmed.",
ExternalBalanceSubType1Code,PIPO,PayInPayOut,Balance representing the fictive amount of automated direct debits or payment based on standing arrangements between the CSD and the user. Usage: Pay-Ins and Pay-Outs can be different based on individual payment instructions or available funds.,
ExternalBalanceSubType1Code,PRAV,ProgressiveAverage,Average of the daily balances on the account used to fulfil the reserve requirements calculated from the beginning of the maintenance period.,
ExternalBalanceSubType1Code,RESV,Reserve,"Balance representing the regulatory reserve that a financial institution must have with the account servicing institution, eg, the minimum credit balance a financial institution is to keep with its Central Bank for mandatory reserve purposes. ",
ExternalBalanceSubType1Code,SCOL,SelfCollateralization,Balance representing the forecast of the cash-equivalent resulting from evaluation of the net incoming balance of securities qualified to serve as collateral for which settlement instructions are held at.,
ExternalBalanceSubType1Code,SCOU,AmountsThatHaveBeenUsedToServeAsSelfCollateral,"Balance representing the cash-equivalent resulting from evaluation of incoming securities, qualified to serve as collateral and actually used as collateral, which have been settled during the settlement process. ",
ExternalBalanceSubType1Code,THRE,Threshold,Balance representing the amount that will be destined for investment. Difference between available balance and threshold for investment limit.,
ExternalBalanceType1Code,CLAV,ClosingAvailable,Closing balance of amount of money that is at the disposal of the account owner on the date specified. ,
ExternalBalanceType1Code,CLBD,ClosingBooked,Balance of the account at the end of the pre-agreed account reporting period. It is the sum of the opening booked balance at the beginning of the period and all entries booked to the account during the pre-agreed account reporting period. ,
ExternalBalanceType1Code,FWAV,ForwardAvailable,Forward available balance of money that is at the disposal of the account owner on the date specified. ,
ExternalBalanceType1Code,INFO,Information,Balance for informational purposes. ,
ExternalBalanceType1Code,ITAV,InterimAvailable,"Available balance calculated in the course of the account servicer's business day, at the time specified, and subject to further changes during the business day. The interim balance is calculated on the basis of booked credit and debit items during the calculation time/period specified. ",
ExternalBalanceType1Code,ITBD,InterimBooked,"Balance calculated in the course of the account servicer's business day, at the time specified, and subject to further changes during the business day. The interim balance is calculated on the basis of booked credit and debit items during the calculation time/period specified. ",
ExternalBalanceType1Code,OPAV,OpeningAvailable,Opening balance of amount of money that is at the disposal of the account owner on the date specified. ,
ExternalBalanceType1Code,OPBD,OpeningBooked,Book balance of the account at the beginning of the account reporting period. It always equals the closing book balance from the previous report. ,
ExternalBalanceType1Code,PRCD,PreviouslyClosedBooked,"Balance of the account at the previously closed account reporting period. The opening booked balance for the new period has to be equal to this balance.
Usage: the previously booked closing balance should equal (inclusive date) the booked closing balance of the date it references and equal the actual booked opening balance of the current date.",
ExternalBalanceType1Code,XPCD,Expected,"Balance, composed of booked entries and pending items known at the time of calculation, which projects the end of day balance if everything is booked on the account and no other entry is posted. ",
ExternalCategoryPurpose1Code,BONU,BonusPayment,Transaction is the payment of a bonus.,Both
ExternalCategoryPurpose1Code,CASH,CashManagementTransfer,Transaction is a general cash management instruction.,Both
ExternalCategoryPurpose1Code,CBLK,CardBulkClearing,"A service that is settling money for a bulk of card transactions, while referring to a specific transaction file or other information like terminal ID, card acceptor ID or other transaction details.",Both
ExternalCategoryPurpose1Code,CCRD,CreditCardPayment,Transaction is related to a payment of credit card.,NPA
ExternalCategoryPurpose1Code,CORT,TradeSettlementPayment,"Transaction is related to settlement of a trade, eg a foreign exchange deal or a securities transaction.",CHAPS
ExternalCategoryPurpose1Code,DCRD,DebitCardPayment,Transaction is related to a payment of debit card.,NPA
ExternalCategoryPurpose1Code,DIVI,Dividend,Transaction is the payment of dividends.,Both
ExternalCategoryPurpose1Code,DVPM,DeliverAgainstPayment,Code used to pre-advise the account servicer of a forthcoming deliver against payment instruction.,CHAPS
ExternalCategoryPurpose1Code,EPAY,Epayment,Transaction is related to ePayment.,
ExternalCategoryPurpose1Code,FCIN,FeeCollectionAndInterest,Transaction is related to the payment of a fee and interest.,
ExternalCategoryPurpose1Code,FCOL,FeeCollection,A service that is settling card transaction related fees between two parties.,Both
ExternalCategoryPurpose1Code,GP2P,PersontoPersonPayment,General Person-to-Person Payment. Debtor and Creditor are natural persons.,Both
ExternalCategoryPurpose1Code,GOVT,GovernmentPayment,Transaction is a payment to or from a government department.,Both
ExternalCategoryPurpose1Code,HEDG,Hedging,Transaction is related to the payment of a hedging operation.,CHAPS
ExternalCategoryPurpose1Code,ICCP,IrrevocableCreditCardPayment,Transaction is reimbursement of credit card payment.,
ExternalCategoryPurpose1Code,IDCP,IrrevocableDebitCardPayment,Transaction is reimbursement of debit card payment.,
ExternalCategoryPurpose1Code,INTC,IntraCompanyPayment,"Transaction is an intra-company payment, ie, a payment between two companies belonging to the same group.",Both
ExternalCategoryPurpose1Code,INTE,Interest,Transaction is the payment of interest.,Both
ExternalCategoryPurpose1Code,LBOX,LockboxTransactions,Transaction is related to identify cash handling via Night Safe or Lockbox by bank or vendor on behalf of a physical store.,
ExternalCategoryPurpose1Code,LOAN,Loan,Transaction is related to the transfer of a loan to a borrower.,Both
ExternalCategoryPurpose1Code,MP2B,Commercial,Mobile P2B Payment,
ExternalCategoryPurpose1Code,MP2P,Consumer,Mobile P2P Payment,NPA
ExternalCategoryPurpose1Code,OTHR,OtherPayment,Other payment purpose.,Both
ExternalCategoryPurpose1Code,PENS,PensionPayment,Transaction is the payment of pension.,Both
ExternalCategoryPurpose1Code,RPRE,Represented,Collection used to re-present previously reversed or returned direct debit transactions.,
ExternalCategoryPurpose1Code,RRCT,ReimbursementReceivedCreditTransfer,Transaction is related to a reimbursement for commercial reasons of a correctly received credit transfer.,NPA
ExternalCategoryPurpose1Code,RVPM,ReceiveAgainstPayment,Code used to pre-advise the account servicer of a forthcoming receive against payment instruction.,
ExternalCategoryPurpose1Code,SALA,SalaryPayment,Transaction is the payment of salaries.,Both
ExternalCategoryPurpose1Code,SECU,Securities,Transaction is the payment of securities.,CHAPS
ExternalCategoryPurpose1Code,SSBE,SocialSecurityBenefit,"Transaction is a social security benefit, ie payment made by a government to support individuals.",Both
ExternalCategoryPurpose1Code,SUPP,SupplierPayment,Transaction is related to a payment to a supplier.,Both
ExternalCategoryPurpose1Code,TAXS,TaxPayment,Transaction is the payment of taxes.,Both
ExternalCategoryPurpose1Code,TRAD,Trade,Transaction is related to the payment of a trade finance transaction.,CHAPS
ExternalCategoryPurpose1Code,TREA,TreasuryPayment,Transaction is related to treasury operations.  E.g. financial contract settlement.,CHAPS
ExternalCategoryPurpose1Code,VATX,ValueAddedTaxPayment,Transaction is the payment of value added tax.,Both
ExternalCategoryPurpose1Code,WHLD,WithHolding,Transaction is the payment of withholding tax.,Both
ExternalCategoryPurpose1Code,SWEP,CashManagementSweepAccount,"Classification: Cash Management. Transaction relates to a cash management instruction, requesting a sweep of the account of the Debtor above an agreed floor amount, up to a target or zero balance.
The purpose is to move the funds from multiple accounts to a single bank account. Funds can move domestically or across border and more than one bank can be used.",
ExternalCategoryPurpose1Code,TOPG,CashManagementTopAccount,"Classification: Cash Management. Transaction relates to a cash management instruction, requesting to top the account of the Creditor above a certain floor amount, up to a target or zero balance. 
The floor amount, if not pre-agreed by the parties involved, may be specified.",
ExternalCategoryPurpose1Code,ZABA,CashManagementZeroBalanceAccount,"Transaction relates to a cash management instruction, requesting to zero balance the account of the Debtor.
Zero Balance Accounts empty or fill the balances in accounts at the same bank, in the same country into or out of a main account each day.",
ExternalCategoryPurpose1Code,VOST,CrossborderMIPayments,Transaction to be processed as a domestic payment instruction originated from a foreign bank.,
