Code Set,Code Value,Code Name,Code Definition,HTTP Status Category,Description
OBExternalStatusReason1Code,U001,UK.OBIE.Field.Expected,Field is expected,400,"For the scenario, when a field-value is not provided in the payload, that is expected in combination with preceding field-value pairs.
The corresponding path must be populated with the path of the unexpected field.
E.g. ExchangeRate must be specified with Agreed RateType. ExchangeRate should be specified in the path element. InstructionPriority must be specified with Agreed RateType. InstructionPriority should be specified in the path element.
"
OBExternalStatusReason1Code,U002,UK.OBIE.Field.Invalid,Field is invalid,400,"An invalid value is supplied in one of the fields, or the length of value supplied is larger than the corresponding maximum field length in ASPSP's domain. Reference of the invalid field should be provided in the path field, and the URL field may have the link to a website explaining the valid behaviour. The error message should describe the problem in detail."
OBExternalStatusReason1Code,U003,UK.OBIE.Field.InvalidDate,Field has a invalid date,400,"An invalid date is supplied e.g. when a future date is expected, a date in past or current date is supplied. The message can specify the actual problem with the date. The reference of the invalid field should be provided in the path field, and URL field may have the link to a website explaining the valid behaviour"
OBExternalStatusReason1Code,U004,UK.OBIE.Field.Missing,A required field is missing,400,"A mandatory field, required for the API, is missing from the payload. This error code can be used, if it is not already captured under the validation for U010 (UK.OBIE.Resource.InvalidFormat)
Reference of the missing field should be provided in the path field, and URL field may have the link to a website explaining the valid behaviour"
OBExternalStatusReason1Code,U005,UK.OBIE.Field.Unexpected,A value is provided when not required,400,"For the scenario, when a field-value is provided in the payload, that is not expected in combination with preceding field-value pairs. E.g.
ContractIdentification must not be specified with [Actual/Indicative] RateType.
ContractIdentification should be specified in the path element ExchangeRate must not be specified with [Actual/Indicative] RateType.
ExchangeRate should be specified in the path element.
InstructionPriority must not be specified with LocalInstrument. InstructionPriority should be specified in the path element."
OBExternalStatusReason1Code,U006,UK.OBIE.Header.Invalid,Header is invalid,400,An invalid value is supplied in the HTTP header. The HTTP Header should be specified in the path element.
OBExternalStatusReason1Code,U007,UK.OBIE.Header.Missing,Header is missing,400,A required HTTP header has not been provided. The HTTP Header should be specified in the path element.
OBExternalStatusReason1Code,U008,UK.OBIE.Resource.ConsentMismatch,Mismatch between staged consent and payment order request,400,"{payment-order-consent} and {payment-order} resource mismatch. For example, if an element in the resource’s Initiation or Risk section does not match the consent section. The path element should be populated with the field of the resource that does not match the consent."
OBExternalStatusReason1Code,U009,UK.OBIE.Resource.InvalidConsentStatus,Unexpected consent status ,400,"The resource’s associated consent is not in a status that would allow the resource to be created, or a request to be executed.
E.g., if a consent resource had a status of AWAU (AwaitingAuthorisation) or RJCT(Rejected), a resource could not be created against this consent.
The path element should be populated with the field in the consent resource that is invalid."
OBExternalStatusReason1Code,U010,UK.OBIE.Resource.InvalidFormat,Invalid schema,400,"When the Payload schema does not match to the endpoint, e.g., /domestic-payments endpoint is called with a JSON Payload, which cannot be parsed into a class such as OBWriteDomestic1"
