,,Enum Category,,OBErrorResponseError1Code,,,,,,
Code Set,Code Value,Code Name,Code Definition,HTTP Status Category,Description,,,,,
OBInternalErrorResponseError1Code,U001,UK.OB.Field.Expected,,400,"For the scenario, when a field-value is not provided in the payload, that is expected in combination with preceding field-value pairs.",,,,,
,,,,,The corresponding path must be populated with the path of the unexpected field.,,,,,
,,,,,E.g. ExchangeRate must be specified with Agreed RateType. ExchangeRate should be specified in the path element. InstructionPriority must be specified with Agreed RateType. InstructionPriority should be specified in the path element.,,,,,
OBInternalErrorResponseError1Code,U002,UK.OB.Field.Invalid,,400,"An invalid value is supplied in one of the fields, or the length of value supplied is larger than the corresponding maximum field length in ASPSP's domain. Reference of the invalid field should be provided in the path field, and the URL field may have the link to a website explaining the valid behaviour. The error message should describe the problem in detail.",,,,,
OBInternalErrorResponseError1Code,U003,UK.OB.Field.InvalidDate,,400,"An invalid date is supplied e.g. when a future date is expected, a date in past or current date is supplied. The message can specify the actual problem with the date. The reference of the invalid field should be provided in the path field, and URL field may have the link to a website explaining the valid behaviour",,,,,
OBInternalErrorResponseError1Code,U004,UK.OB.Field.Missing,,400,"A mandatory field, required for the API, is missing from the payload. This error code can be used, if it is not already captured under the validation for UK.OB.Resource.InvalidFormat.",,,,,
,,,,,"Reference of the missing field should be provided in the path field, and URL field may have the link to a website explaining the valid behaviour",,,,,
OBInternalErrorResponseError1Code,U005,UK.OB.Field.Unexpected,,400,"For the scenario, when a field-value is provided in the payload, that is not expected in combination with preceding field-value pairs. E.g.",,,,,
,,,,,ContractIdentification must not be specified with [Actual/Indicative] RateType.,,,,,
,,,,,ContractIdentification should be specified in the path element ExchangeRate must not be specified with [Actual/Indicative] RateType.,,,,,
,,,,,ExchangeRate should be specified in the path element.,,,,,
,,,,,InstructionPriority must not be specified with LocalInstrument. InstructionPriority should be specified in the path element.,,,,,
OBInternalErrorResponseError1Code,U006,UK.OB.Header.Invalid,,400,An invalid value is supplied in the HTTP header. The HTTP Header should be specified in the path element.,,,,,
OBInternalErrorResponseError1Code,U007,UK.OB.Header.Missing,,400,A required HTTP header has not been provided. The HTTP Header should be specified in the path element.,,,,,
OBInternalErrorResponseError1Code,U008,UK.OB.Resource.ConsentMismatch,,400,"{payment-order-consent} and {payment-order} resource mismatch. For example, if an element in the resource’s Initiation or Risk section does not match the consent section. The path element should be populated with the field of the resource that does not match the consent.",,,,,
OBInternalErrorResponseError1Code,U009,UK.OB.Resource.InvalidConsentStatus,,400,"The resource’s associated consent is not in a status that would allow the resource to be created, or a request to be executed.",,,,,
